,precision,recall,f1-score,support
1,1.0,1.0,1.0,1275.0
10,1.0,1.0,1.0,153.0
108,1.0,1.0,1.0,168.0
16,1.0,1.0,1.0,971.0
18,1.0,1.0,1.0,2029.0
2,1.0,0.9993319973279893,0.9996658870698296,2994.0
21,1.0,1.0,1.0,231.0
22,1.0,1.0,1.0,120.0
26,1.0,1.0,1.0,132.0
28,1.0,1.0,1.0,224.0
29,1.0,1.0,1.0,136.0
3,1.0,1.0,1.0,88.0
30,1.0,1.0,1.0,135.0
33,1.0,1.0,1.0,200.0
34,1.0,1.0,1.0,1275.0
35,1.0,1.0,1.0,117.0
36,1.0,0.9974554707379135,0.9987261146496815,393.0
38,1.0,1.0,1.0,136.0
39,1.0,1.0,1.0,209.0
4,1.0,1.0,1.0,1415.0
40,1.0,0.9965753424657534,0.9982847341337907,292.0
42,1.0,1.0,1.0,230.0
43,1.0,0.9965635738831615,0.9982788296041308,291.0
47,1.0,1.0,1.0,105.0
49,1.0,1.0,1.0,162.0
5,1.0,1.0,1.0,198.0
52,1.0,1.0,1.0,158.0
53,1.0,1.0,1.0,120.0
54,0.9956521739130435,1.0,0.9978213507625272,229.0
55,1.0,1.0,1.0,281.0
56,1.0,1.0,1.0,201.0
57,1.0,1.0,1.0,113.0
58,1.0,1.0,1.0,98.0
60,1.0,1.0,1.0,143.0
62,0.9974619289340102,1.0,0.9987293519695045,393.0
64,1.0,1.0,1.0,177.0
72,0.9964539007092199,1.0,0.9982238010657194,281.0
8,1.0,1.0,1.0,2138.0
84,1.0,1.0,1.0,217.0
9,1.0,1.0,1.0,622.0
91,1.0,1.0,1.0,360.0
other,0.9993339993339994,1.0,0.9996668887408394,3001.0
accuracy,0.9997748863175904,0.9997748863175904,0.9997748863175904,0.9997748863175904
macro avg,0.9997357619735778,0.9997601520098766,0.9997475466189529,22211.0
weighted avg,0.9997754159649622,0.9997748863175904,0.9997748978697772,22211.0
