,precision,recall,f1-score,support
1,0.9984338292873923,1.0,0.9992163009404388,1275.0
10,0.9230769230769231,0.3137254901960784,0.4682926829268293,153.0
108,1.0,0.011904761904761904,0.023529411764705882,168.0
16,0.9989680082559339,0.9969104016477858,0.9979381443298968,971.0
18,1.0,1.0,1.0,2029.0
2,1.0,1.0,1.0,2994.0
21,0.5066079295154186,0.9956709956709957,0.6715328467153285,231.0
22,1.0,0.36666666666666664,0.5365853658536585,120.0
26,1.0,0.06060606060606061,0.1142857142857143,132.0
28,0.6257142857142857,0.9776785714285714,0.7630662020905923,224.0
29,1.0,0.08823529411764706,0.1621621621621622,136.0
3,1.0,0.10227272727272728,0.18556701030927836,88.0
30,0.7226890756302521,0.6370370370370371,0.6771653543307087,135.0
33,0.4652777777777778,0.335,0.38953488372093026,200.0
34,0.9937646141855028,1.0,0.9968725566849101,1275.0
35,1.0,0.1623931623931624,0.27941176470588236,117.0
36,0.9744245524296675,0.9694656488549618,0.9719387755102041,393.0
38,0.835820895522388,0.4117647058823529,0.5517241379310345,136.0
39,0.5621468926553672,0.9521531100478469,0.7069271758436944,209.0
4,1.0,1.0,1.0,1415.0
40,0.8941605839416058,0.839041095890411,0.8657243816254419,292.0
42,0.7448559670781894,0.7869565217391304,0.7653276955602536,230.0
43,0.38972809667673713,0.8865979381443299,0.5414480587618048,291.0
47,1.0,0.19047619047619047,0.32,105.0
49,1.0,0.4012345679012346,0.5726872246696035,162.0
5,0.8417721518987342,0.6717171717171717,0.7471910112359551,198.0
52,0.8061224489795918,0.5,0.6171875,158.0
53,0.9545454545454546,0.175,0.29577464788732394,120.0
54,0.23588039867109634,0.6200873362445415,0.3417569193742479,229.0
55,0.9361702127659575,0.6263345195729537,0.7505330490405117,281.0
56,0.34417344173441733,0.6318407960199005,0.4456140350877193,201.0
57,1.0,0.017699115044247787,0.034782608695652174,113.0
58,1.0,0.32653061224489793,0.4923076923076923,98.0
60,0.9534883720930233,0.2867132867132867,0.44086021505376344,143.0
62,0.9917355371900827,0.916030534351145,0.9523809523809524,393.0
64,0.7401574803149606,0.5310734463276836,0.618421052631579,177.0
72,0.9137931034482759,0.9430604982206405,0.9281961471103327,281.0
8,1.0,0.9953227315247896,0.9976558837318332,2138.0
84,0.6462585034013606,0.8755760368663594,0.7436399217221136,217.0
9,0.7137891077636153,0.9903536977491961,0.8296296296296296,622.0
91,0.9493333333333334,0.9888888888888889,0.9687074829931973,360.0
other,1.0,1.0,1.0,3001.0
accuracy,0.8945117284228535,0.8945117284228535,0.8945117284228535,0.8945117284228535
macro avg,0.8491164042354129,0.632905229032468,0.6372756333239422,22211.0
weighted avg,0.9324083163207489,0.8945117284228535,0.8856261055394097,22211.0
